nombre,area,jerarquia,desempenio,años_experiencia,proyectos_completados,horas_extra,capacitaciones,feedback_positivo,feedback_negativo,tiempo_en_empresa,motivacion,desempenio_futuro
Empleado_0,QA,1,0,5.090251519227917,2,9.580927185726956,2,5.0,2.606326999062951,3.988687248301278,3.2621676763258356,1
Empleado_1,Ventas,1,1,4.1006111000609735,0,9.371728263938497,4,4.4952276973948155,1.0,4.4256365044034816,3.0346695841625078,1
Empleado_2,Desarrollo,1,2,4.976311764005852,3,15.459318546439457,2,3.7734856185509567,2.197478557512714,3.3372014896050843,2.1553891404820895,1
Empleado_3,Soporte,1,2,5.230986055678128,4,12.651482950701745,5,4.594348629023215,2.655398334412596,3.2026949585257753,2.1933490229177712,2
Empleado_4,Soporte,1,1,4.566081909787054,9,5.918682514257865,0,5.0,2.598194765291427,5.880529099308437,3.191559379337211,1
Empleado_5,Desarrollo,2,1,5.454541916700511,4,14.765724248705958,5,4.709061873038607,3.211394416136298,2.7061958696878836,3.696844602120943,2
Empleado_6,Soporte,1,1,8.880073438047749,5,2.160077432733317,3,2.069134639078129,3.0423656963863586,2.221354354654715,3.3259884794683052,1
Empleado_7,QA,2,2,8.016765728361465,8,19.52739374113753,5,3.8129298633074638,1.9593581166394214,0.568747230959862,3.5856959040151404,2
Empleado_8,Marketing,0,1,4.0201200041712974,4,10.759790126676869,2,5.0,1.7617571716123128,3.0604039118622968,2.3570477046251677,1
Empleado_9,QA,0,0,5.273400457873486,3,12.52488959179518,2,5.0,1.069213795840502,4.114776347616614,2.9478485589075065,1
Empleado_10,Desarrollo,1,1,9.878800709112173,2,20.51414158792892,1,2.7969824277854043,2.7712179959317838,3.1158933232912247,2.2664068892270253,2
Empleado_11,Soporte,0,0,4.95392853254992,1,7.563100369260366,3,4.476043940761577,1.0,2.816885056013755,3.795758245290305,0
Empleado_12,Ventas,0,2,6.212444117035997,4,21.16171818197488,4,2.8885799177959512,1.7857323599773138,6.361580987462719,1.927792013433098,2
Empleado_13,QA,2,1,1.1112577518502995,5,9.076008479660137,0,4.5297678399741494,1.9383840180680951,0.44252427106622916,2.328017546996564,1
Empleado_14,QA,2,1,8.712076754110562,7,3.047851601786789,4,5.0,1.413289585678486,2.9393592734771845,1.703636550745766,2
Empleado_15,Soporte,2,0,7.186836382568634,8,10.55383501460161,4,4.522387156335405,1.8512984636471748,1.210857308875927,1.9156945544889763,1
Empleado_16,Soporte,2,1,1.6171310702832837,2,9.94222721521807,2,4.522942702222226,2.723397579576041,4.680718579864844,2.9298785768202795,1
Empleado_17,Diseño,2,0,7.556286306179247,2,5.906748716930671,3,4.231211914680397,1.0,0.4525591927905186,3.5792612561885497,1
Empleado_18,Diseño,2,1,3.8853108278342345,7,11.33090306285274,1,4.197572799438377,2.2569886149141563,2.246071018014777,3.0568945231234372,2
Empleado_19,Diseño,2,0,5.898214602216889,7,7.552435621826779,0,2.087634253956594,1.7970867489131281,0.6149632540375656,1.319610636016289,1
Empleado_20,Soporte,2,1,3.6377768349591992,8,13.057201337488012,4,4.071632842219513,2.2461984701131086,2.49769021704052,3.5313214249441494,2
Empleado_21,Desarrollo,0,1,4.389088618935722,5,3.9603726484411252,4,3.7919689962250778,3.6342598517406337,4.30129622253987,2.274706923071123,1
Empleado_22,Ventas,1,0,5.664522224363473,6,14.240111425206603,2,3.8104460953268133,1.9792647760310873,4.669000226037368,1.9451374225783833,0
Empleado_23,Diseño,1,0,7.006699851492057,9,10.706970734165207,2,3.868106021085369,1.3491656636012355,4.372682353081403,2.552687767584948,1
